CO2_Limit,Generator,AP_g
10424.5182,OCGT,2444
10424.5182,CCGT,10070
10424.5182,Coal,550.6598246
10425.5182,Diesel,365.4973991
10425.5182,OCGT,2444
10425.5182,CCGT,10070
10425.5182,Coal,553.1742524
10426.5182,Diesel,363.1814787
10426.5182,OCGT,2444
10426.5182,CCGT,10070
10426.5182,Coal,555.6886803
10427.5182,Diesel,360.8655583
10427.5182,OCGT,2444
10427.5182,CCGT,10070
10427.5182,Coal,558.2031081
10428.5182,Diesel,358.5496379
10428.5182,OCGT,2444
10428.5182,CCGT,10070
10428.5182,Coal,560.717536
10429.5182,Diesel,356.2337175
10429.5182,OCGT,2444
10429.5182,CCGT,10070
10429.5182,Coal,563.2319639
10430.5182,Diesel,353.9177971
10430.5182,OCGT,2444
10430.5182,CCGT,10070
10430.5182,Coal,565.7463917
10431.5182,Diesel,351.6018767
10431.5182,OCGT,2444
10431.5182,CCGT,10070
10431.5182,Coal,568.2608196
10432.5182,Diesel,349.2859563
10432.5182,OCGT,2444
10432.5182,CCGT,10070
10432.5182,Coal,570.7752474
10433.5182,Diesel,346.9700359
10433.5182,OCGT,2444
